pattern,purchase_behaviour,multiple_year_purchase
011100011,Year-round Purchase,TRUE
100111111,Year-round Purchase,TRUE
010011000,Winter Season Purchase,TRUE
011000010,Year-round Purchase,TRUE
001010111,Year-round Purchase,TRUE
110010101,Year-round Purchase,TRUE
001101111,Year-round Purchase,TRUE
010010001,Winter Season Purchase,TRUE
110011001,Winter Season Purchase,TRUE
011110110,Year-round Purchase,TRUE
001111001,Year-round Purchase,TRUE
010110110,Year-round Purchase,TRUE
001111101,Year-round Purchase,TRUE
010100010,New-Year Summer Purchase,TRUE
001000110,Spring-Summer Purchase,TRUE
000110100,Year-round Purchase,TRUE
010111010,Year-round Purchase,TRUE
111010111,Year-round Purchase,TRUE
010111100,Year-round Purchase,TRUE
111010100,Year-round Purchase,TRUE
111110011,Year-round Purchase,TRUE
010110010,Year-round Purchase,TRUE
001000000,Spring-Season Purchase,FALSE
010010100,Year-round Purchase,TRUE
011111001,Year-round Purchase,TRUE
111010101,Year-round Purchase,TRUE
011100111,Year-round Purchase,TRUE
111010001,Year-round Purchase,TRUE
101110111,Year-round Purchase,TRUE
110111011,Year-round Purchase,TRUE
000010010,H2 Purchase,TRUE
011100101,Year-round Purchase,TRUE
110110100,Year-round Purchase,TRUE
111110101,Year-round Purchase,TRUE
101011111,Year-round Purchase,TRUE
110111001,Year-round Purchase,TRUE
110011011,Year-round Purchase,TRUE
111010011,Year-round Purchase,TRUE
011101101,Year-round Purchase,TRUE
110110001,Year-round Purchase,TRUE
010100110,Year-round Purchase,TRUE
001000001,Spring-Winter Purchase,FALSE
000100000,Summer-Season Purchase,FALSE
111101110,Year-round Purchase,TRUE
001111100,Year-round Purchase,TRUE
111011101,Year-round Purchase,TRUE
001001011,Year-round Purchase,TRUE
000000010,Summer-Season Purchase,FALSE
111110100,Year-round Purchase,TRUE
111011110,Year-round Purchase,TRUE
010100001,Year-round Purchase,TRUE
011011001,Year-round Purchase,TRUE
111010010,Year-round Purchase,TRUE
011000110,Year-round Purchase,TRUE
011001100,H1 Purchase,TRUE
111101011,Year-round Purchase,TRUE
101010000,Spring-Winter Purchase,TRUE
111011000,Year-round Purchase,TRUE
010111101,Year-round Purchase,TRUE
100111000,Year-round Purchase,TRUE
111110010,Year-round Purchase,TRUE
001001010,Year-round Purchase,TRUE
001000101,Spring-Winter Purchase,TRUE
001001111,Year-round Purchase,TRUE
111001000,Year-round Purchase,TRUE
101011001,Year-round Purchase,TRUE
101000000,Spring-Winter Purchase,FALSE
101100000,Year-round Purchase,TRUE
010000111,Year-round Purchase,TRUE
001011110,Year-round Purchase,TRUE
111000001,Year-round Purchase,TRUE
110100000,Year-round Purchase,TRUE
101010011,Year-round Purchase,TRUE
110100001,Year-round Purchase,TRUE
100111101,Year-round Purchase,TRUE
000101100,Year-round Purchase,TRUE
001101101,Year-round Purchase,TRUE
100011001,Winter Season Purchase,TRUE
100110001,H2 Purchase,TRUE
101011011,Year-round Purchase,TRUE
110111010,Year-round Purchase,TRUE
101101111,Year-round Purchase,TRUE
010011100,Year-round Purchase,TRUE
010010110,Year-round Purchase,TRUE
000100001,H2 Purchase,TRUE
000101011,Year-round Purchase,TRUE
111001111,Year-round Purchase,TRUE
010100011,Year-round Purchase,TRUE
010000010,New-Year Summer Purchase,TRUE
001011011,Year-round Purchase,TRUE
010100101,Year-round Purchase,TRUE
001001110,Year-round Purchase,TRUE
010100100,Year-round Purchase,TRUE
100110101,Year-round Purchase,TRUE
111101101,Year-round Purchase,TRUE
010001000,New-Year Purchase,TRUE
000111100,Year-round Purchase,TRUE
101111100,Year-round Purchase,TRUE
100000011,H2 Purchase,TRUE
111011011,Year-round Purchase,TRUE
101110011,Year-round Purchase,TRUE
001010010,Year-round Purchase,TRUE
110011101,Year-round Purchase,TRUE
110110011,Year-round Purchase,TRUE
101111000,Year-round Purchase,TRUE
111001001,Year-round Purchase,TRUE
111100110,Year-round Purchase,TRUE
110010111,Year-round Purchase,TRUE
